"","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes"
"CANX",-0.371784265145632,7.11798752602939,-0.874443144832048,0.384780787917972,0.880586590777531,-5.98380945565347,"CANX"
"ZNF865",-0.0762047178732657,2.37307752481833,-0.302534863187,0.763115534120298,0.983140851028897,-5.98382754858058,"ZNF865"
"CIRBP",-0.287524972985823,7.58444625888502,-0.918130031503811,0.361612346289771,0.871527833208407,-5.98393484193617,"CIRBP"
"ANK1",-0.299098242356143,2.64285942568668,-0.372089300416225,0.710920839991515,0.974601975813208,-5.98394935484721,"ANK1"
"FEM1A",0.0934991428530898,2.30549758592174,0.280971548136157,0.779537038766235,0.983140851028897,-5.98401979866853,"FEM1A"
"YPEL2",0.221600426073148,5.83735581189101,0.721375386107114,0.473011654763681,0.916019414986264,-5.98413109728396,"YPEL2"
"ELK3",-0.243260631382372,5.47699662588535,-0.52760761582931,0.599391811141647,0.953999360324616,-5.98413743351285,"ELK3"
"NAPA-AS1",-0.16537131969566,2.24718768209969,-0.30492319610333,0.761303226810602,0.983140851028897,-5.98421266402926,"NAPA-AS1"
"DNHD1",0.189577909946939,4.7821198177829,0.698186476563279,0.48730657125175,0.920551626867801,-5.98422919874147,"DNHD1"
"MSANTD2",0.195127001920218,5.22859755786539,0.748640010939469,0.456509790908296,0.908969443644347,-5.98424094452746,"MSANTD2"
"MORN2",0.204036220907991,2.36834843499247,0.362769580634655,0.717838440423634,0.976238085822578,-5.98433511020275,"MORN2"
"ZNF184",-0.117666541162633,3.21218784596591,-0.490379083468832,0.625354884871143,0.962215738145298,-5.98450119893878,"ZNF184"
"IRAK4",0.151280995806788,4.99262646626726,0.655854943979189,0.514005188484967,0.9281588268394,-5.98459062076457,"IRAK4"
"SDF2L1",-0.334239592749435,3.35935841689475,-0.490586280070372,0.625213054832675,0.962215738145298,-5.98473669045079,"SDF2L1"
"TIGD4",-0.0843050875871307,1.81166659779771,-0.319645308186222,0.75016169561104,0.983067392426571,-5.98475205615048,"TIGD4"
"MRPL4",0.27075756411639,3.972158253013,0.653066828647421,0.51579054653785,0.928545474678233,-5.9848811355896,"MRPL4"
"MTUS2",-0.36184657284142,3.09609189885103,-0.583442347194191,0.561419912532546,0.943898075175192,-5.98497612122082,"MTUS2"
"NEU3",0.158218544698728,3.75129309576796,0.600666319701797,0.549946045300521,0.939550142737934,-5.98498271475541,"NEU3"
"PPM1N",-0.0651602445977844,1.99266214867193,-0.167603551050274,0.867364448410447,0.988458712841933,-5.98499149197595,"PPM1N"
"ZNF518A",0.250030377964453,6.94737500672942,0.896217815461184,0.373119345577562,0.876402815046334,-5.9853656712352,"ZNF518A"
"DISP2",0.170752897922131,1.89671737477523,0.479976041457235,0.632697528660635,0.96408935227357,-5.98543004438451,"DISP2"
"ACBD4",0.126905194217348,3.14229944156245,0.545854017321699,0.586851453166056,0.950737201731422,-5.98543846757878,"ACBD4"
"MBOAT7",0.202959911723358,4.62986419687647,0.689264128227518,0.492869607360634,0.922182456060077,-5.98567762601203,"MBOAT7"
"TSPAN17",0.109296012748309,3.10620904224349,0.536142702846358,0.593510395954699,0.952073234879268,-5.98568336710182,"TSPAN17"
