"","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes","comparison"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.PSME1",-3.07196220537914,4.68740944035291,-7.72069891766657,4.3853807791306e-11,4.80739508632087e-09,14.9981388811442,"PSME1","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.C19orf53",-3.85023024858031,4.28333064905662,-7.70906580916793,4.66371912831609e-11,5.05373654352948e-09,14.935503027747,"C19orf53","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.LSM4",-2.69328409380835,4.13985708487938,-7.70394733403572,4.69514119582175e-11,5.05373654352948e-09,14.9321356113935,"LSM4","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.PDZD11",-2.23098126799692,2.9520219621412,-7.69786707913661,4.82077408683523e-11,5.08655097399102e-09,14.9174803199911,"PDZD11","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.KEAP1",-1.50200765528093,3.45901104796266,-7.69548127703708,4.87098176541233e-11,5.10593500350869e-09,14.9073486503424,"KEAP1","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.NDUFB10",-3.22998478427974,4.212337648612,-7.6946641020065,4.92004044107503e-11,5.11133674417836e-09,14.8869506646478,"NDUFB10","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.PRR13",-2.24297202550274,4.5371365676446,-7.69224717245428,4.93987526716328e-11,5.11133674417836e-09,14.886091420868,"PRR13","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.RNASEK",-3.26422302064403,6.1909917927052,-7.70098902571345,4.8142942156962e-11,5.08655097399102e-09,14.8784049549994,"RNASEK","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.BRWD1",1.15893938910262,7.79162751687267,7.6986594554378,4.80421350618344e-11,5.08655097399102e-09,14.8750598842617,"BRWD1","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.DMAC1",-2.25390598445794,3.68371876198846,-7.68863491546684,5.01797401307556e-11,5.15886328344268e-09,14.8742611337443,"DMAC1","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
